[GIN] 2023/10/03 - 22:07:04 | 303 |            0s |       127.0.0.1 | GET      "/v1/authorization?redirect_uri=http://rp.com/code_flow/oidc_op&scope=openid+profile+email+address+phone&response_type=code&nonce=cdYrYNLv6wBHlBmZjWxvrQmmD&state=DJOfvYDSDxaPzOKRoyaTaQWCoWywdeKU&client_id=EqAfEpR492It"
[GIN] 2023/10/03 - 22:07:04 | 200 |         722µs |       127.0.0.1 | GET      "/v1/login"
[GIN] 2023/10/03 - 22:07:07 | 303 |      2.9317ms |       127.0.0.1 | POST     "/v1/user_pass/verify"
[GIN] 2023/10/03 - 22:07:07 | 303 |         409µs |       127.0.0.1 | GET      "/v1/authorization?redirect_uri=http://rp.com/code_flow/oidc_op&scope=openid+profile+email+address+phone&response_type=code&nonce=cdYrYNLv6wBHlBmZjWxvrQmmD&state=DJOfvYDSDxaPzOKRoyaTaQWCoWywdeKU&client_id=EqAfEpR492It"
[GIN] 2023/10/03 - 22:07:07 | 200 |     11.3185ms |       127.0.0.1 | POST     "/v1/token"
[GIN] 2023/10/03 - 22:07:07 | 200 |      1.9409ms |       127.0.0.1 | GET      "/v1/userinfo"
[GIN] 2023/10/03 - 22:07:10 | 303 |      3.6541ms |       127.0.0.1 | GET      "/v1/authorization?redirect_uri=http://rp.com/code_flow/oidc_op&scope=openid+profile+email+address+phone&response_type=code&nonce=cdYrYNLv6wBHlBmZjWxvrQmmD&state=DJOfvYDSDxaPzOKRoyaTaQWCoWywdeKU&client_id=EqAfEpR492It"
[GIN] 2023/10/03 - 22:07:10 | 200 |     12.0955ms |       127.0.0.1 | POST     "/v1/token"
[GIN] 2023/10/03 - 22:07:10 | 200 |      2.5759ms |       127.0.0.1 | GET      "/v1/userinfo"
[GIN] 2023/10/03 - 22:07:12 | 303 |      2.5562ms |       127.0.0.1 | GET      "/v1/authorization?redirect_uri=http://rp.com/code_flow/oidc_op&scope=openid+profile+email+address+phone&response_type=code&nonce=cdYrYNLv6wBHlBmZjWxvrQmmD&state=DJOfvYDSDxaPzOKRoyaTaQWCoWywdeKU&client_id=EqAfEpR492It"
[GIN] 2023/10/03 - 22:07:12 | 200 |     24.9766ms |       127.0.0.1 | POST     "/v1/token"
[GIN] 2023/10/03 - 22:07:12 | 200 |      6.0362ms |       127.0.0.1 | GET      "/v1/userinfo"
[GIN] 2023/10/03 - 22:07:55 | 303 |      1.4046ms |       127.0.0.1 | GET      "/v1/authorization?redirect_uri=http://rp.com/code_flow/oidc_op&scope=openid+profile+email+address+phone&response_type=code&nonce=cdYrYNLv6wBHlBmZjWxvrQmmD&state=DJOfvYDSDxaPzOKRoyaTaQWCoWywdeKU&client_id=EqAfEpR492It"
[GIN] 2023/10/03 - 22:07:55 | 200 |     15.2023ms |       127.0.0.1 | POST     "/v1/token"
[GIN] 2023/10/03 - 22:07:55 | 200 |     11.0629ms |       127.0.0.1 | GET      "/v1/userinfo"
[GIN] 2023/10/03 - 22:11:25 | 303 |      2.2046ms |       127.0.0.1 | GET      "/v1/authorization?redirect_uri=http://rp.com/code_flow/oidc_op&scope=openid+profile+email+address+phone&response_type=code&nonce=cdYrYNLv6wBHlBmZjWxvrQmmD&state=DJOfvYDSDxaPzOKRoyaTaQWCoWywdeKU&client_id=EqAfEpR492It"
[GIN] 2023/10/03 - 22:11:25 | 200 |     26.1299ms |       127.0.0.1 | POST     "/v1/token"
[GIN] 2023/10/03 - 22:11:25 | 200 |      3.0055ms |       127.0.0.1 | GET      "/v1/userinfo"
